Accel_X,Accel_Y,Accel_Z
-153,0,237
0,50,114
-2,46,110
9,41,100
-5,39,90
1,34,86
9,34,88
2,40,94
-2,45,96
-4,52,108
0,54,116
0,55,119
1,53,118
6,48,118
9,41,109
11,36,104
13,30,94
13,27,90
14,29,89
9,32,91
-1,35,88
-1,39,96
-1,43,102
7,37,100
11,34,99
17,29,95
18,28,92
22,23,87
24,26,90
17,30,94
16,35,101
14,42,108
12,43,110
12,46,114
10,47,115
8,46,114
-3,45,127
25,41,109
22,35,109
22,38,110
20,40,112
21,39,111
18,41,110
20,38,102
17,31,102
18,40,110
22,40,113
22,43,117
20,42,114
23,41,113
25,39,110
22,39,107
22,41,109
22,41,108
27,37,107
22,38,104
21,39,101
21,40,101
22,41,104
19,42,100
19,40,98
19,41,100
21,40,98
24,38,100
24,38,101
25,40,105
25,41,107
26,39,104
26,37,103
25,37,103
27,38,105
24,37,101
26,35,99
25,36,99
26,35,100
23,37,102
24,37,105
26,36,106
27,35,104
28,32,103
28,33,104
26,33,104
23,35,102
25,34,103
24,34,103
25,33,102
24,35,103
23,37,106
21,38,108
23,37,107
23,36,105
21,34,104
23,32,103
21,32,102
22,32,101
26,29,105
22,30,104
20,29,102
14,30,118
28,31,93
12,29,107
15,29,107
22,30,99
32,31,108
26,32,109
26,30,105
31,29,110
27,31,109
21,32,109
19,33,110
21,32,107
25,31,110
18,33,106
23,34,107
31,35,117
24,35,111
23,33,106
18,32,105
17,32,104
18,31,104
17,31,103
16,28,101
14,27,96
16,26,100
15,25,100
14,25,98
12,25,97
9,25,94
6,25,91
9,27,95
13,29,99
20,31,103
22,32,106
21,31,103
19,28,99
21,29,98
22,27,94
17,25,92
12,24,88
15,26,91
16,24,92
16,24,92
15,26,96
16,28,97
15,30,98
21,26,97
17,28,99
9,27,94
10,25,91
14,26,95
9,25,91
7,25,93
9,25,93
10,25,93
9,23,91
11,22,90
11,22,92
12,22,90
19,19,88
19,20,89
16,19,87
18,19,86
19,21,87
21,22,83
14,22,85
15,24,87
18,30,90
23,32,97
15,33,94
15,33,94
19,30,92
23,25,86
21,24,87
14,25,88
11,25,86
11,24,85
9,27,91
14,26,91
12,30,92
10,30,93
