Accel_X,Accel_Y,Accel_Z
33,34,60
31,41,62
28,49,74
21,55,78
14,57,78
13,60,77
30,60,73
43,63,84
53,58,84
52,57,86
61,65,72
40,69,95
29,64,97
33,59,87
36,60,84
18,65,90
6,71,94
-3,72,97
-122,132,330
-15,73,110
11,68,101
18,68,107
25,61,91
34,69,100
35,70,104
35,76,111
33,81,122
26,85,134
30,85,139
41,79,132
52,80,122
41,63,127
45,74,111
39,77,140
51,71,130
40,62,126
38,66,125
41,64,122
46,65,119
43,64,112
42,60,115
49,59,110
42,62,123
39,63,123
39,65,125
47,60,119
43,59,125
44,57,124
51,38,68
26,52,129
45,52,135
55,51,127
54,50,139
61,41,121
58,43,128
63,32,116
66,31,110
48,35,117
59,31,114
58,33,123
68,33,110
72,24,102
58,23,119
56,25,126
57,19,118
64,14,114
64,10,111
65,2,106
62,1,105
59,-2,99
63,-4,95
60,-7,95
58,-1,100
57,1,102
49,3,103
47,3,102
46,4,99
46,6,103
52,3,104
48,0,101
50,-6,85
46,-7,82
48,-9,75
42,-9,75
47,-3,75
37,-1,80
43,4,83
36,5,84
36,7,81
36,6,79
30,5,75
30,2,71
38,-1,66
40,-4,58
35,-5,51
32,0,50
39,11,59
41,25,72
34,32,77
26,32,73
20,30,69
17,26,60
24,24,56
33,25,54
36,25,51
33,24,44
33,28,45
31,35,50
28,41,54
33,48,59
31,54,66
28,60,70
27,66,78
27,72,87
26,76,93
22,75,95
20,73,96
19,73,98
22,70,100
16,72,106
18,68,107
19,65,107
19,61,107
19,57,106
21,54,106
25,49,102
28,45,100
29,43,100
28,43,102
25,41,103
26,39,104
27,38,103
27,36,102
27,36,100
27,35,100
28,38,101
29,36,101
32,35,101
33,35,100
29,31,96
30,31,97
29,30,96
27,31,97
27,32,98
27,31,98
27,31,98
29,32,98
30,31,98
30,30,97
30,30,99
30,29,97
32,29,97
32,30,98
32,31,98
32,32,99
32,32,98
31,32,98
29,32,97
28,34,98
28,34,99
28,33,97
28,33,96
28,32,96
26,32,95
27,32,96
27,32,95
26,31,95
27,32,98
28,31,97
29,30,98
30,29,98
30,31,100
30,30,99
30,29,98
30,28,97
31,27,97
31,27,98
30,25,95
30,25,94
30,22,93
