Accel_X,Accel_Y,Accel_Z
-7,56,74
-7,50,74
4,42,78
8,36,79
12,30,76
18,25,80
21,19,85
24,11,84
26,2,85
22,-5,82
15,-10,77
6,-13,75
-6,-14,71
-13,-15,68
-2,-20,72
6,-24,75
10,-25,80
10,-25,80
8,-23,82
7,-22,86
11,-23,89
15,-25,89
14,-24,91
15,-24,88
17,-24,88
20,-23,91
24,-21,92
24,-18,94
24,-16,93
23,-13,94
23,-10,95
22,-7,94
22,-4,92
24,-4,86
26,-4,81
29,-2,81
30,-1,79
29,0,79
26,0,80
26,0,81
29,-3,78
34,-9,71
34,-14,62
37,-19,51
41,-23,47
46,-22,45
42,-15,43
42,-6,55
48,1,62
37,12,70
36,9,64
37,12,68
29,9,56
28,9,54
29,15,61
28,25,72
31,33,87
21,43,97
18,46,97
20,41,92
13,45,94
-1,54,99
-7,67,108
-5,73,123
-11,83,136
-3,78,137
1,68,127
44,70,188
30,40,108
17,57,97
12,54,99
6,58,111
2,71,122
4,79,136
9,77,137
9,66,120
16,58,110
25,55,111
29,53,107
35,55,109
28,59,110
29,58,104
31,68,123
23,77,133
19,76,128
14,74,128
17,79,132
16,77,131
13,81,134
10,81,132
13,75,125
13,69,116
12,66,110
9,70,105
7,71,104
9,71,101
11,76,107
9,80,105
9,80,104
2,83,89
-5,80,89
1,85,99
6,86,98
6,88,101
12,88,100
17,87,100
27,81,99
27,74,92
29,61,80
25,52,73
20,52,77
18,53,79
14,53,85
15,52,79
13,41,78
20,33,80
21,27,83
25,12,77
27,-2,61
31,-13,58
34,-14,60
36,-11,70
33,-8,82
36,0,81
36,-6,86
45,-14,88
49,-20,90
56,-21,89
44,-19,94
45,-20,93
50,-19,91
52,-20,91
52,-17,91
49,-11,98
50,-10,99
50,-5,103
45,0,104
38,1,102
38,1,102
35,4,97
35,6,95
37,7,95
37,10,93
39,13,95
37,17,97
39,18,98
41,16,95
42,18,95
43,17,92
41,20,93
37,22,96
42,24,96
40,24,95
36,26,96
36,26,96
38,24,93
33,24,94
38,25,95
34,27,96
32,25,94
33,24,94
33,24,93
34,26,97
30,25,96
34,24,95
34,23,94
34,22,93
34,21,93
36,22,96
37,21,96
34,20,93
32,19,90
31,21,91
30,21,93
30,23,94
30,22,93
30,21,93
32,21,95
32,22,95
32,23,97
